login,order_id,customer_id,MOTT,status,marketplaceid,orderTotalAmountUSD,ictry_cd,bctry_cd,cctry_cd,sctry_cd,emailorg,ipadd,paymeth,gls,isfba,hasprime,seg,fastlane,numitem,issuingbank,fingerprint,createdcountrycode,ipstate,sst_cd,zip,nsignins,days_lastorder,comp_dayob,capture_date,capture_calendar_week,event_day,event_calendar_week,event_calendar_month,event_calendar_year,event_priority,capture_priority,risk_score,conceded_order_id,conc_amt_usd,max_concession_creation_day,min_concession_creation_day,unique_id,report_generation_date
aba,114-2200370-8776252,911571158702,"ARM QUEUING: Please evaluate the accounts for TT/D71042585, TT/D74693322, TT/D76143258, TT/D79693915, TT/D79827036, TT/D79958336,TT/D80250017",NORMAL,1,1637.27,,US,GB,KG,GMAIL.COM,10.91.101.153,CC,147,1,0,4,1,1,,6/cKGMafIui8qjLaFicPjg==,US,--,,720077,12,5.808946,65.802395,2024-10-31 14:00:29.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,99,,,,,7a85503e0267583d7b761ca3eade3afb,2024-11-07 00:00:00.000
abd,111-3119309-3410625,377570480002,"ARM QUEUING: Please evaluate the accounts for TT/D71042585, TT/D74693322, TT/D76143258, TT/D79693915, TT/D79827036, TT/D79958336,TT/D80250017",NORMAL,1,1744.35,,KG,BY,KG,OUTLOOK.COM,10.91.212.179,CC,147,1,0,4,1,1,,tRiXAYZntqmeYrs8m2RyZg==,US,--,,720021,23,7.585642,1174.412031,2024-10-31 08:02:55.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,153922577a52fde57cbe666695c37e18,2024-11-07 00:00:00.000
abb,112-1424467-2221019,265127030902,"ARM QUEUING: Please evaluate the accounts for TT/D71042585, TT/D74693322, TT/D76143258, TT/D79693915, TT/D79827036, TT/D79958336,TT/D80250017",NORMAL,1,512.56,,ZA,SZ,ZA,GMAIL.COM,10.168.11.104,CC,147,1,0,4,1,1,,,US,--,MPUMALANGA,2380,50,34.829065,1104.852919,2024-10-31 17:18:11.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,95,,,,,1fb606ec1fbc231e52f4d30aab300816,2024-11-07 00:00:00.000
abc,111-2562444-1269805,6672430515,"ARM QUEUING: Please evaluate the accounts for TT/D71042585, TT/D74693322, TT/D76143258, TT/D79693915, TT/D79827036, TT/D79958336,TT/D80250017",NORMAL,1,990.93,,JP,NZ,JP,HOTMAIL.CO.NZ,10.89.238.57,CC,147,1,0,4,0,1,ANZ Bank New Zealand Limited,E3e7GdbDsGdDm5VK/Mh2bw==,US,--,TOKYOTO,125-0054,25,400.126717,4200.300849,2024-11-01 08:04:26.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,64,,,,,df3ee467644fa5ddcbaa45665791568f,2024-11-07 00:00:00.000
aba,701-6945125-2644200,958291140702,ARM QUEUING: Please evaluate the accounts for TT/D73729330,NORMAL,526970,206.29,--,,--,BR,GMAIL.COM,2804:0d08:80b6:6b00:e5e3:0f80:4986:06d6,Pix,325,1,0,2,1,6,,PyWpvRkm5WoKLPPCY3s1UQ==,BR,--,SC,88340338,3,0.0,0.0,2024-10-29 17:52:41.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,e8a492a9f74593fc60927a17269c8ef5,2024-11-07 00:00:00.000
abd,408-1160985-0593955,831479336412,"ARM QUEUING: Please evaluate the accounts for TT/D76863282,TT/D87503635",NORMAL,35691,219.44,IT,IT,IT,IT,GMAIL.COM,79.42.6.223,CC,147,1,0,1,1,1,PostePay,E3e7GdbDsGdDm5VK/Mh2bw==,IT,--,NAPOLI,80010,4,0.0,0.0,2024-11-01 18:14:49.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,fc6c5cedb081ac5e9bf6c44c5883dd28,2024-11-07 00:00:00.000
abb,403-1130463-0688314,828246735212,ARM QUEUING: Please evaluate the accounts for TT/D128736909,NORMAL,35691,1217.44,IT,IT,IT,IT,GMAIL.COM,5.90.204.209,CC,107,1,0,1,1,1,RAIFFEISENBANK,wNlt2z3h+uLsyZeoUJrqqA==,IT,--,MILANO,20062,1,0.0,0.0,2024-10-29 23:04:16.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,86,,,,,5725dd7c1e969178f6aee54a9dfbf127,2024-11-07 00:00:00.000
abc,402-4624455-7841915,829554623312,"ARM QUEUING: Please evaluate the accounts for TT/D76863282,TT/D87503635",NORMAL,35691,490.19,IT,IT,IT,IT,GMAIL.COM,2a0e:0421:3e5f:0000:f1a5:b169:683a:b38e,CC,107,1,1,1,1,1,,UAZy0XVa822fM5FrqD4B3w==,IT,--,,80124,16,0.0,0.0,2024-11-05 10:46:56.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,76,,,,,4d84c8b9a5f2d4e856c73d59032a44be,2024-11-07 00:00:00.000
aba,171-4626723-9793143,829040083712,"ARM QUEUING: Please evaluate the accounts for TT/D76863282,TT/D87503635",NORMAL,35691,712.94,IT,IT,IT,IT,GMAIL.COM,79.58.216.110,CC,63,1,1,1,1,1,PJSC_EUROPEAN_GAZ_BANK,jR1p3GPAzD3gYhQNooATKQ==,IT,--,GE,16164,5,0.0,0.0,2024-11-05 09:08:07.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,99,,,,,85ef64847a975917cf70b0aaf1149424,2024-11-07 00:00:00.000
abd,403-0026635-0153112,808307076412,"ARM QUEUING: Please evaluate the accounts for TT/D76863282,TT/D87503635",NORMAL,35691,1064.72,IT,IT,IT,IT,GMAIL.COM,93.150.210.117,CC,147,1,1,1,1,1,,hHii0rMmdtE7df75pTQPHQ==,IT,--,,80014,50,3.136794,5.913391,2024-11-04 01:19:20.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,61,,,,,4f1c6f40491c2762227480ee4a4beba4,2024-11-07 00:00:00.000
abb,405-5885239-5315549,831295935712,"ARM QUEUING: Please evaluate the accounts for TT/D76863282,TT/D87503635",NORMAL,35691,834.7,IT,IT,IT,IT,GMAIL.COM,5.90.55.15,CC,147,1,0,1,1,1,Intesa Sanpaolo Spa,lNvDXdwnCKAmZIygZ4uG1Q==,IT,--,BO,40122,6,0.0,0.0,2024-11-03 11:32:14.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,71,,,,,aa37a76383bb3a37d151828944b15946,2024-11-07 00:00:00.000
abc,701-7348313-1518637,958462940702,ARM QUEUING: Please evaluate the accounts for TT/D78067076,NORMAL,526970,202.81,--,,--,BR,,2804:29b8:5069:1a01:c012:f7d0:28a5:7ef5,Pix,370,1,1,2,1,5,,BiKCygig3vHRbytmQqDi/g==,BR,--,GO,72911208,6,0.006667,0.006667,2024-11-02 01:05:23.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,96,,,,,44b84efbc3cad4d18510fbf331fb3a79,2024-11-07 00:00:00.000
aba,702-2174185-2001820,588212116802,ARM QUEUING: Please evaluate the accounts for TT/D78067076,NORMAL,526970,1579.24,--,,--,BR,GMAIL.COM,2804:056c:c27f:fa00:007e:783d:aaf0:0f97,Pix,107,1,1,2,0,1,,8J4darXt7jWDK429cCxvPw==,BR,--,RIODEJANEIRO,27580000,29,0.0,0.0,2024-10-31 17:48:21.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,99,,,,,2c566356521698c303f3b5d851594439,2024-11-07 00:00:00.000
abd,702-3103296-3347401,960800374502,ARM QUEUING: Please evaluate the accounts for TT/D78067076,NORMAL,526970,809.47,BR,,--,BR,GMAIL.COM,187.64.125.58,Pix,107,1,1,2,1,1,,vsgrhfCmpBtinR67MLODwA==,BR,RJ,PARAIBA,58071400,6,0.0,0.0,2024-11-01 21:37:46.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,74136f4f2fe4c5ee7793aaf8ccc7f75b,2024-11-07 00:00:00.000
abb,202-6066866-2545129,781150952,ARM QUEUING: Please evaluate the accounts for TT/D85898553,NORMAL,3,2048.21,GB,GB,GB,GB,GMAIL.COM,2a00:23c4:572f:9001:bdea:1e50:4243:689b,CC,107,1,0,4,1,2,,6gItGDZy5s8wksuyFNxP5w==,GB,EN,,N4 3SG,50,151.978669,4866.763727,2024-11-02 17:58:08.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,889fc2cba47edad1aef5d6616975dddf,2024-11-07 00:00:00.000
abc,402-4624455-7841915,829554623312,"ARM QUEUING: Please evaluate the accounts for TT/D76863282,TT/D87503635",NORMAL,35691,490.19,IT,IT,IT,IT,GMAIL.COM,2a0e:0421:3e5f:0000:f1a5:b169:683a:b38e,CC,107,1,1,1,1,1,,UAZy0XVa822fM5FrqD4B3w==,IT,--,,80124,16,0.0,0.0,2024-11-05 10:46:56.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,76,,,,,4d84c8b9a5f2d4e856c73d59032a44be,2024-11-07 00:00:00.000
aba,403-0026635-0153112,808307076412,"ARM QUEUING: Please evaluate the accounts for TT/D76863282,TT/D87503635",NORMAL,35691,1064.72,IT,IT,IT,IT,GMAIL.COM,93.150.210.117,CC,147,1,1,1,1,1,,hHii0rMmdtE7df75pTQPHQ==,IT,--,,80014,50,3.136794,5.913391,2024-11-04 01:19:20.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,61,,,,,4f1c6f40491c2762227480ee4a4beba4,2024-11-07 00:00:00.000
abd,403-6642548-7247540,786603849312,ARM QUEUING: Please evaluate the accounts for TT/D89851121,NORMAL,44551,2596.94,CZ,CZ,CZ,CZ,OUTLOOK.COM,45.86.51.184,CC,107,1,0,1,0,2,Revolut,mXn2cdJR5t+bk1ETZP27pw==,ES,--,PLZENSKKRAJ,31800,50,25.426933,42.106273,2024-10-29 18:18:37.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,08e8c9a4f6e3bf7df48fb8c8ba1f46ac,2024-11-07 00:00:00.000
abb,028-1504401-7746748,829270087312,ARM QUEUING: Please evaluate the accounts for TT/D94313140,NORMAL,4,662.19,,LT,LT,LT,GMAIL.COM,10.90.234.181,CC,147,1,0,8,1,1,,E3e7GdbDsGdDm5VK/Mh2bw==,DE,--,KAUNOMSAV,48125,4,0.0,0.0,2024-10-30 15:02:43.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,93,,,,,2df4ac544209dc6537317c56ac2a8345,2024-11-07 00:00:00.000
abc,408-8345139-5877152,167188376912,ARM QUEUING: Please evaluate the accounts for TT/P129098633,NORMAL,44551,866.49,PT,PT,PT,PT,GMAIL.COM,217.129.171.217,CC,200,1,0,2,1,1,Banco Espirito Santo S.A.,E3e7GdbDsGdDm5VK/Mh2bw==,ES,--,CASTELOBRANCO,6000-104,2,0.0,0.0,2024-10-31 00:15:00.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,69,,,,,80eb71a2e9a21de33fc4610185f576c9,2024-11-07 00:00:00.000
aba,407-0091161-9868305,818264880212,tt/0509798764,NORMAL,328451,854.29,NL,NL,UA,NL,GMAIL.COM,82.72.236.106,CC,107,1,0,3,1,1,,GJ1waSJ/BB9vdwV/IwK8MQ==,NL,--,,9401CT,16,1.107188,10.602766,2024-10-31 12:27:11.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,94,,,,,2b2191e5bf294b149fde915eed4786d2,2024-11-07 00:00:00.000
abd,404-6622276-6045937,820942714012,tt/0509798764,NORMAL,328451,1167.43,NL,NL,,NL,QQ.COM,45.93.75.149,iDEAL,"23,147",1,0,3,1,3,,bZHkR3ZdHGSWrjNi56D8Dw==,NL,--,,9742AK,9,6.517905,16.338796,2024-11-04 01:57:42.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,97,,,,,2ea4066f9f2f1a6ef507f0cfd5048776,2024-11-07 00:00:00.000
abb,402-7251053-4582742,131406080202,tt/d108893233,NORMAL,338851,335.33,TR,TR,TR,TR,GMAIL.COM,5.25.2.208,CC,23,1,0,3,1,1,Yapı Kredi Bankası,lNvDXdwnCKAmZIygZ4uG1Q==,US,--,,43100,1,0.0,0.0,2024-11-05 10:46:26.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,52aaf7da2ca7d3f68a68692b8033d769,2024-11-07 00:00:00.000
abc,171-4599175-7413939,37714691812,tt/d108893233,NORMAL,338851,266.74,TR,TR,TR,TR,,78.169.112.120,CC,107,1,1,3,1,2,Yapı Kredi Bankası,OF3Z1ypIjcgRvdeit5Q1cw==,DE,--,MERKEZ,64100,16,0.0,0.0,2024-11-05 16:57:18.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,92,,,,,155815e463379bcbc902e757d71bf7a0,2024-11-07 00:00:00.000
aba,402-4078485-0996336,834137554312,tt/d108893233,NORMAL,338851,1355.99,TR,TR,TR,TR,GMAIL.COM,85.103.111.66,CC,107,1,1,3,1,1,İş Bankası,E3e7GdbDsGdDm5VK/Mh2bw==,TR,--,,34890,2,0.0,0.0,2024-11-05 22:26:47.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,d186d6855a45feba9790099f9c4300d0,2024-11-07 00:00:00.000
abd,403-3680772-9099546,833525306212,tt/d108893233,NORMAL,338851,423.98,TR,TR,TR,TR,GMAIL.COM,176.240.96.39,CC,107,1,1,3,1,1,Finansbank,8jgpXvp0m7s2eVY3KmX1/w==,TR,--,,42250,3,0.0,0.0,2024-11-04 19:37:10.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,a8c9898ebb9ed8168005c324b94b7fd9,2024-11-07 00:00:00.000
abb,405-8323853-9869164,790120882912,tt/d108893233,NORMAL,338851,1897.18,TR,TR,TR,TR,GMAIL.COM,85.100.65.248,CC,107,1,1,3,1,2,İş Bankası,cwioGxOwBJ9MnHgpURG0/Q==,TR,--,,34680,27,0.00816,0.00816,2024-11-06 11:45:21.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,98,,,,,aafc22d8ed37dd696dbfa9c5627dad47,2024-11-07 00:00:00.000
abc,408-8101306-8298725,753835304212,tt/d108893233,NORMAL,338851,200.47,TR,TR,TR,TR,ICLOUD.COM,46.197.225.146,CC,107,1,1,3,1,1,Ziraat Bankası,ZAYuH5tL82/LQf896GvIrg==,TR,--,,35280,13,0.0,0.0,2024-11-05 11:23:05.000,,2024-11-05 00:00:00,2024 Week 45,2024 / 11,2024,1,1,97,,,,,07e575224d33d9818751bf6b5ac84e2e,2024-11-07 00:00:00.000
aba,405-7994477-1823552,830144904612,tt/d108893233,NORMAL,338851,851.18,TR,TR,TR,TR,ICLOUD.COM,176.89.218.253,CC,107,1,0,3,1,1,Finansbank,e58ddp2F82G2Jc9F69qsGw==,TR,--,,61300,1,0.0,0.0,2024-11-01 06:07:11.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,95,,,,,b465279eaf25eb537f424bc0bd3ea6d6,2024-11-07 00:00:00.000
abd,406-0984316-3533953,833266175912,tt/d108893233,NORMAL,338851,1182.56,TR,TR,TR,TR,GMAIL.COM,5.47.102.108,CC,107,1,1,3,1,1,İş Bankası,soDixQ4K8a/OzdtoO5yQlg==,TR,--,ATAKUM,55200,4,0.0,0.0,2024-11-04 11:28:11.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,90,,,,,b3d26fe3a0ce5865fec7029795bddcb9,2024-11-07 00:00:00.000
abb,171-0234284-8109127,833347059512,tt/d108893233,NORMAL,338851,837.06,TR,TR,TR,TR,GMAIL.COM,176.41.33.61,CC,107,1,1,3,1,1,Akbank,jJoJfrkdmkTDSNuetNQmxA==,TR,--,,45200,3,0.0,0.0,2024-11-04 12:32:30.000,,2024-11-06 00:00:00,2024 Week 45,2024 / 11,2024,1,1,99,,,,,adc3dd97b1e0f1f5916d16c30e8ccb7d,2024-11-07 00:00:00.000
abc,404-8803428-6509959,22594594615,tt/d108893233,NORMAL,338851,771.76,TR,TR,TR,TR,HOTMAIL.COM,2a02:0ff0:331c:0dde:fda8:49e7:33a8:2077,CC,63,1,1,1,0,1,İş Bankası,fzfmfq8fYRZA39jIGp67ng==,US,--,,34203,7,0.0,0.0,2024-11-02 10:54:18.000,,2024-11-07 00:00:00,2024 Week 45,2024 / 11,2024,1,1,91,,,,,b2a9671ad65103aa008d155f07a42a08,2024-11-07 00:00:00.000
